url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,jumlah lantai,id iklan,kt. pembantu,km. pembantu,tahun dibangun,kondisi properti,carport,garasi,kondisi perabotan,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation
https://www.rumah123.com/properti/jakarta-selatan/hos11139154/#qid~1f9919b6-2578-4678-aa91-e24953424d5d,Rp,"8,05",Miliar,Andre Tjhia Rumah Hook di Cipete Selatan Bonus Bangunan Lokasi Premium,"Cipete, Jakarta Selatan","Kolam Renang, Keamanan 24 jam,  One Gate System, Akses Parkir, Track Lari,  Playground, Tempat Jemuran,  Taman",4,3,575 m²,264 m²,rumah,shm - sertifikat hak milik,3300 mah,1,hos11139154,,,,bagus,,,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11139154/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,"8,05",Miliar,Andre Tjhia Rumah Hook di Cipete Selatan Bonus Bangunan Lokasi Premium,"Cipete, Jakarta Selatan","Kolam Renang, Keamanan 24 jam,  One Gate System, Akses Parkir, Track Lari,  Playground, Tempat Jemuran,  Taman",4,3,575 m²,264 m²,rumah,shm - sertifikat hak milik,3300 mah,1,hos11139154,,,,bagus,,,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11027140/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,15,Miliar,"Rumah di Kemang Utara, Uk 15x23, SHM Harga 15 Milyar","Kemang, Jakarta Selatan","AC, Taman,  Jogging Track,  Keamanan",3,3,350 m²,250 m²,rumah,shm - sertifikat hak milik,7700 mah,2,hos11027140,1,1,,bagus sekali,2,1,semi furnished,timur,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10805048/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,"3,8",Miliar,Andre Tjhia Tanjung Duren Rumah Bagus Jalan Sangat Lebar Bebas Banjir,"Tanjung Duren, Jakarta Barat","AC, Taman,  Jogging Track,  Keamanan",4,3,144 m²,208 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos10805048,1,1,,bagus sekali,2,1,semi furnished,selatan,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10799175/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,"1,27",Miliar,Andre Tjhia Tanjung Duren Rumah Jln 1 Mobil Lantai 1 Ada Kmr Tdr,"Tanjung Duren, Jakarta Barat","Jogging Track, Taman,  Keamanan",3,3,33 m²,100 m²,rumah,shm - sertifikat hak milik,2200 mah,3,hos10799175,,,,baru,1,,unfurnished,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11131470/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,"1,8",Miliar,Andre Tjhia Jelambar Rumah Lebar Jalan 3 Mobil Bangunan 4 Lantai Bagus,"Jelambar, Jakarta Barat","Keamanan 24 jam, Keamanan",3,3,61 m²,144 m²,rumah,shm - sertifikat hak milik,2200 mah,4,hos11131470,,,,bagus,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11131431/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,"1,45",Miliar,Andre Tjhia Rumah Bagus di Tanjung Duren Ukuran 5x11 Bangunan 2 Lantai,"Tanjung Duren, Jakarta Barat","Taman,  Jogging Track, Keamanan 24 jam,  One Gate System, Akses Parkir, Track Lari, Keamanan, Tempat Jemuran",3,2,55 m²,120 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos11131431,,,,baru,,,,selatan,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10697161/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,"1,95",Miliar,New Town House di Jln warung sila jagakarsa Jakarta selatan,"Jagakarsa, Jakarta Selatan","Kolam Renang, Taman,  Keamanan",3,3,95 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,2,hos10697161,1,1,2022,,2,,semi furnished,selatan,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos10637822/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,"4,5",Miliar,"Rumah Grisenda PIK 6X20 SHM, Hadap Selatan","Taman Grisenda, Jakarta Utara","Taman,  Kolam Renang,  Jogging Track, Jalur Telepon,  Keamanan, Keamanan 24 jam,  CCTV, Track Lari, CCTV",4,4,120 m²,240 m²,rumah,shm - sertifikat hak milik,3500 mah,2,hos10637822,,,2021,baru,2,,unfurnished,selatan,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos10878062/#qid~fbf64b4a-4bb4-495c-8a32-3cd48b03d20b,Rp,15,Miliar,Rumah Intercon Hoek 425m2 Ada Swimming Pool,"Intercon, Jakarta Barat","Kolam Renang, Taman,  Jogging Track,  Keamanan,  Kolam Renang, Jalur Telepon, Keamanan 24 jam, AC,  Jalur Telepon, Ac, Track Lari, CCTV,  Taman",4,3,425 m²,500 m²,rumah,shm - sertifikat hak milik,11000 mah,2,hos10878062,1,1,,baru,2,2,semi furnished,selatan,,,,,,,,,,,,,,
