,url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,garasi,jumlah lantai,kondisi perabotan,id iklan,kondisi properti,hadap,kt. pembantu,km. pembantu,tahun dibangun,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,floors,property condition,furnishing,building orientation
10,https://www.rumah123.com/properti/bogor/hos10023300/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,945,Juta,Rumah Bebas Banjir di Rose Garden Dekat Gunung Putri Harga All In Kpr Bisa Nego,"Tapos, Bogor","Taman, Keamanan",2,1,105 m²,60 m²,,rumah,shm - sertifikat hak milik,2200 mah,1,1,unfurnished,hos10023300,,,,,,,,,,,,,,,,,
11,https://www.rumah123.com/properti/bogor/hos10612546/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,780,Juta,Rumah Di Laladon Residence Dekat Ciampea Bisa Kpr Harga All In,"Ciomas, Bogor","Taman, Keamanan",3,2,116 m²,85 m²,,rumah,shm - sertifikat hak milik,1300 mah,1,1,unfurnished,hos10612546,,,1,,,,,,,,,,,,,,
12,https://www.rumah123.com/properti/bogor/hos10612548/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"1,44",Miliar,Rumah Bebas Banjir Di Sentul City Bogor Bisa Kpr Harga All In,"Sentul City, Bogor","Taman, Keamanan",3,2,90 m²,110 m²,,rumah,shm - sertifikat hak milik,2200 mah,1,2,unfurnished,hos10612548,,,1,,,,,,,,,,,,,,
13,https://www.rumah123.com/properti/bogor/hos10973686/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,500,Juta,Rumah Bebas Banjir Dekat Setu di Permata Hill Residence Harga All In Kpr,"Gunung Sindur, Bogor","Taman, Keamanan",2,1,68 m²,36 m²,1,rumah,,1300 mah,,1,unfurnished,hos10973686,bagus,barat,,,,,,,,,,,,,,,
14,https://www.rumah123.com/properti/bogor/hos10612522/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"1,98",Miliar,Rumah Luas 2 Lantai Dekat Ciomas Akses Mudah Harga All In Siap Kpr,"Tanah Sareal, Bogor","Taman, Keamanan",6,3,120 m²,155 m²,,rumah,shm - sertifikat hak milik,1300 mah,1,2,unfurnished,hos10612522,bagus,,,,,,,,,,,,,,,,
15,https://www.rumah123.com/properti/bogor/hos11273553/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,600,Juta,Rumah Baru 2 Lantai View Gunung Di Ciomas Bogor,"Ciomas, Bogor","Tempat Jemuran,  Taman, Keamanan, Masjid",3,2,66 m²,56 m²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2,unfurnished,hos11273553,baru,barat daya,,,2022,,,,,,,,,,,,
16,https://www.rumah123.com/properti/bogor/hos11206299/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,550,Juta,Rumah murah rapih di sentul City,"Sentul City, Bogor","Taman,  Jogging Track,  Keamanan, Jalur Telepon, Keamanan 24 jam, Masjid,  Masjid, Track Lari,  Taman",2,1,90 m²,80 m²,,rumah,shm - sertifikat hak milik,1300 mah,,1,unfurnished,hos11206299,bagus,,1,1,,,,,,,,,,,,,
17,https://www.rumah123.com/properti/bogor/hos11206148/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,500,Juta,Modern Smart Home Termurah di Kemang Bogor Cuma 500 Jutaan,"Kemang, Bogor","Keamanan 24 jam, One Gate System",2,1,72 m²,50 m²,1,rumah,,2200 mah,,1,unfurnished,hos11206148,baru,,,,2022,,,,,,,,,,,,
18,https://www.rumah123.com/properti/bogor/hos10612879/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"1,08",Miliar,Rumah Bergaya Townhouse Siap Kpr di Kab. Bogor Harga All In,"Gunung Sindur, Bogor","Taman, Keamanan",2,2,60 m²,65 m²,,rumah,shm - sertifikat hak milik,2200 mah,1,2,unfurnished,hos10612879,bagus,,,,,,,,,,,,,,,,
19,https://www.rumah123.com/properti/bogor/hos10260082/#qid~76ff2ee6-b88b-4a4e-935d-8136ad1bd339,Rp,"2,4",Miliar,Rumah Bebas Banjir Dekat Cilebut Di Villa Bogor Indah Harga All In Siap Kpr,"Ciparigi, Bogor","Taman, Keamanan",4,3,153 m²,200 m²,,rumah,shm - sertifikat hak milik,3500 mah,1,2,semi furnished,hos10260082,bagus,,1,,,,,,,,,,,,,,
20,https://www.rumah123.com/properti/bogor/hos10935252/#qid~fd7e1bab-9c29-43f7-9f2d-b591420e0162,Rp,930,Juta,Rumah Bebas Banjir Siap Kpr Di Natura City Harga All In,"Gunung Sindur, Bogor","Taman, Keamanan",2,1,84 m²,39 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,1,unfurnished,hos10935252,bagus,,,,,,,,,,,,,,,,
21,https://www.rumah123.com/properti/bogor/hos10023527/#qid~fd7e1bab-9c29-43f7-9f2d-b591420e0162,Rp,"2,04",Miliar,Rumah Asri di Bogor Nirwana Residence Bebas Banjir Harga All In Kpr Bisa Nego,"Mulyaharja, Bogor","Taman, Keamanan",4,3,180 m²,120 m²,,rumah,shm - sertifikat hak milik,2200 mah,2,2,unfurnished,hos10023527,,,,,,,,,,,,,,,,,
22,https://www.rumah123.com/properti/bogor/hos10612778/#qid~fd7e1bab-9c29-43f7-9f2d-b591420e0162,Rp,"1,68",Miliar,Rumah Luas Strategis Dekat Cileungsi Akses Mudah Harga All In Kpr,"Cileungsi, Bogor","Taman, Keamanan",3,2,200 m²,90 m²,,rumah,hgb - hak guna bangunan,2200 mah,1,1,unfurnished,hos10612778,,,1,,,,,,,,,,,,,,
23,https://www.rumah123.com/properti/bogor/hos10260113/#qid~fd7e1bab-9c29-43f7-9f2d-b591420e0162,Rp,630,Juta,Rumah Minimalis Harga All In Siap Kpr di Metland Cileungsi,"Cileungsi, Bogor","Taman, Keamanan",2,1,84 m²,70 m²,,rumah,shm - sertifikat hak milik,1300 mah,1,1,unfurnished,hos10260113,,,,,,,,,,,,,,,,,
