url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,kondisi properti,kondisi perabotan,id iklan,tahun dibangun,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building age,building orientation
https://www.rumah123.com/properti/jakarta-utara/hos11286401/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"4,2",Miliar,Dijual Sangat Murah Pik 1 Lt 6x17 Lantai 2 Garden House Furnish,"Pantai Indah Kapuk, Jakarta Utara","Taman,  Kolam Renang, Akses Parkir, Keamanan 24 jam,  Taman,  Playground,  One Gate System, Track Lari, Tempat Jemuran, Lapangan Basket",3,3,102 m²,120 m²,2,rumah,shm - sertifikat hak milik,4400 mah,1,1,,2,bagus,furnished,hos11286401,2015,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11285815/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"13,5",Miliar,Rumah murah di permata hijau Jakarta selatan,"Permata Hijau, Jakarta Selatan","Taman, Keamanan 24 jam,  Taman, Jalur Telepon, Track Lari,  CCTV,  Jalur Telepon, Ac, Jogging Track, AC,  Keamanan, CCTV",5,4,588 m²,823 m²,2,rumah,shm - sertifikat hak milik,10000 mah,1,1,1,1,bagus,,hos11285815,2005,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos9954274/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"5,5",Miliar,Rumah dalam Komplek di Kahfi 1 Ciganjur Jagakarsa Jakarta Selatan,"Jagakarsa, Jakarta Selatan"," Kolam Renang, Taman,  Masjid, Keamanan",4,4,163 m²,380 m²,2,rumah,shm - sertifikat hak milik,3500 mah,2,,2,3,baru,,hos9954274,2022,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11285770/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"3,8",Miliar,Jual Cepat Rumah kavling Hankam Joglo jakarta barat,"Joglo, Jakarta Barat","Taman, Playground, Kitchen Set, Wastafel, Tempat Jemuran,  Kolam Ikan",3,3,248 m²,188 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,1,1,1,butuh renovasi,unfurnished,hos11285770,,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11285756/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"2,75",Miliar,Rumah Murah Cluster Semi Furnish di Kahfi 1 Ciganjur Jagakarsa,"Jagakarsa, Jakarta Selatan","Keamanan 24 jam, Wastafel, Kitchen Set,  AC",4,4,170 m²,169 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,,2,baru,semi furnished,hos11285756,,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-utara/hos11285137/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"4,75",Miliar,RUMAH 2 LANTAI SIAP HUNI DI CLUSTER JOHAR BGM PIK,"Pantai Indah Kapuk, Jakarta Utara","Keamanan 24 jam,  Pemanas Air,  Taman, Akses Parkir, Jalur Telepon,  CCTV,  Jalur Telepon, Ac,  AC, Jogging Track,  Playground, Wastafel,  Keamanan,  One Gate System, Track Lari, Tempat Jemuran,  Kitchen Set, Mesin Cuci",3,2,120 m²,200 m²,1,rumah,shm - sertifikat hak milik,4400 mah,1,1,1,2,bagus,semi furnished,hos11285137,2013,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10925653/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"4,4",Miliar,Dijual Rumah 2 tingkat posisi Hook di pejaten barat jakarta selatan,"Pejaten, Jakarta Selatan","Taman, Ac,  Keamanan",4,3,162 m²,186 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,1,2,bagus sekali,unfurnished,hos10925653,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos9917485/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"13,8",Miliar,Rumah lokasi premium dan nyaman,"Puri Indah, Jakarta Barat","Keamanan 24 jam, Keamanan",4,4,360 m²,550 m²,2,rumah,shm - sertifikat hak milik,,1,1,2,2,bagus,,hos9917485,,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11283323/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,7,Miliar,"di Jl Pertanian Lebak Bulus Jakarta Selatan , Jakarta Selatan","Lebak Bulus, Jakarta Selatan","Keamanan 24 jam,  Taman, Jalur Telepon, Masjid,  Akses Parkir, AC, Track Lari, Tempat Jemuran",6,4,286 m²,400 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,1,2,2,bagus,unfurnished,hos11283323,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11027329/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"1,05",Miliar,Rumah Siap Bangun Dalam Cluster Di Ciganjur Jagakarsa,"Ciganjur, Jakarta Selatan","CCTV, Taman,  Keamanan",3,3,53 m²,100 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,semi furnished,hos11027329,2022,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos8880337/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"54,5",Miliar,Rumah asri jalan Pasuruan Menteng Murah hitung tanah 60 juta/m ada Pool,"Menteng, Jakarta Pusat","Kolam Renang, AC,  Taman",3,3,909 m²,500 m²,3,rumah,shm - sertifikat hak milik,16500 mah,2,1,2,1,bagus,semi furnished,hos8880337,1998,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11028655/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,11,Miliar,Rumah Mewah Dalam Komplek Area Tb Simatupang Tanjung Barat Jakarta Selatan,"Tanjung Barat, Jakarta Selatan","Taman, AC,  Keamanan",6,4,475 m²,350 m²,2,rumah,shm - sertifikat hak milik,7700 mah,1,2,3,2,bagus sekali,semi furnished,hos11028655,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11280294/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"3,77",Miliar,Jual Rumah di Pengadegan Utara Dekat Cikoko Pancoran Jakarta Selatan,"Pengadegan, Jakarta Selatan"," Taman, Tempat Laundry, Jalur Telepon, Kitchen Set, Masjid,  AC, Wastafel, Tempat Jemuran",3,1,121 m²,120 m²,1,rumah,shm - sertifikat hak milik,4400 mah,1,1,,2,sudah renovasi,semi furnished,hos11280294,2008,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11217859/#qid~fc9a4ad1-e935-44fe-b268-bd6f5622829a,Rp,"1,7",Miliar,"Rumah 2 Lantai Baru Unfurnished di Cluster Laseine Jakarta Garden City Cakung Jakarta Timur, Jakarta Timur","Cakung, Jakarta Timur","Keamanan 24 jam, Jalur Telepon",2,2,85 m²,60 m²,1,rumah,"lainnya (ppjb,girik,adat,dll)",2200 mah,,,1,2,baru,unfurnished,hos11217859,,utara,,,,,,,,,,,,,,,
