address,lat_long,gmaps_tag
"Tanah Sareal, Bogor","(-6.5726115, 106.8011015)","Tanah Sareal, Kec. Tanah Sereal, Kota Bogor, Jawa Barat"
"Ciparigi, Bogor","(-6.5463115, 106.8168031)","Ciparigi, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Mulyaharja, Bogor","(-6.6387205, 106.7861494)","Mulyaharja, Kec. Bogor Sel., Kota Bogor, Jawa Barat"
"Katulampa, Bogor","(-6.6154285, 106.8298214)","Katulampa, Kec. Bogor Tim., Kota Bogor, Jawa Barat"
"Bogor Barat, Bogor","(-6.5766335, 106.765742)","Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Gunung Putri, Bogor","(-6.3882496, 106.9273915)","Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat"
"Cilendek Barat, Bogor","(-6.5700495, 106.766599)","Cilendek Bar., Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Tamansari, Bogor","(-6.6655435, 106.748246)","Kec. Tamansari, Kabupaten Bogor, Jawa Barat"
"Kota Wisata, Bogor","(-6.381012, 106.9620255)","Jl. Kota Wisata, Kabupaten Bogor, Jawa Barat"
"Bojongsari, Bogor","(-6.399214, 106.7410278)","Bojongsari, Parung, Kec. Parung, Kabupaten Bogor, Jawa Barat"
"Curug, Bogor","(-6.544858, 106.7683245)","Curug, Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Babakan Madang, Bogor","(-6.5721445, 106.907121)","Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat"
"Bojong, Bogor","(-6.4769375, 106.7880935)","Kecamatan Bojonggede, Kabupaten Bogor, Jawa Barat"
"Cimahpar, Bogor","(-6.5850174, 106.8298865)","Cimahpar, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Tanah Baru, Bogor","(-6.5768245, 106.820994)","Tanah Baru, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Tegallega, Bogor","(-6.597951, 106.810346)","Tegallega, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat"
"Parung Panjang, Bogor","(-6.3731789, 106.55458)","Kec. Parung Panjang, Kabupaten Bogor, Jawa Barat"
"Cikeas, Bogor","(-6.4014935, 106.9279365)","Cikeas Udik, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat"
"Parung, Bogor","(-6.43971, 106.7051599)","Kec. Parung, Kabupaten Bogor, Jawa Barat"
"Cilebut, Bogor","(-6.5302555, 106.7931885)","Cilebut Bar., Kec. Sukaraja, Kabupaten Bogor, Jawa Barat"
"Baranangsiang, Bogor","(-6.6097729, 106.8130539)","Baranangsiang, Kec. Bogor Tim., Kota Bogor, Jawa Barat"
"Dramaga, Bogor","(-6.5875072, 106.7319552)","Dramaga, Kec. Dramaga, Kabupaten Bogor, Jawa Barat"
"Rancamaya, Bogor","(-6.6717395, 106.8263784)","Rancamaya, Kec. Bogor Sel., Kota Bogor, Jawa Barat"
"Legenda Wisata, Bogor","(-6.4039107, 106.9452029)","Jl. Legenda Wisata, Wanaherang, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat 16965"
"Bojong Kulur, Bogor","(-6.3201426, 106.970528)","Bojong Kulur, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat"
"Tajur Halang, Bogor","(-6.4696815, 106.76102)","Tajur Halang, Kec. Tajur Halang, Kabupaten Bogor, Jawa Barat"
"Cipayung, Bogor","(-6.6466589, 106.8779849)","Cipayung Datar, Kec. Megamendung, Kabupaten Bogor, Jawa Barat"
"Ciluar, Bogor","(-6.5633564, 106.8296675)","Ciluar, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Megamendung, Bogor","(-6.67582, 106.9219299)","Kec. Megamendung, Kabupaten Bogor, Jawa Barat"
"Limusnunggal, Bogor","(-6.3725429, 106.969223)","Limus Nunggal, Kec. Cileungsi, Kabupaten Bogor, Jawa Barat"
"Cijeruk, Bogor","(-6.681057, 106.791227)","Cijeruk, Kec. Cijeruk, Kabupaten Bogor, Jawa Barat"
"Citeureup, Bogor","(-6.5209289, 106.896069)","Kec. Citeureup, Kabupaten Bogor, Jawa Barat"
"Ciapus, Bogor","(-6.5994249, 106.748736)","Ciapus, Kec. Ciomas, Kabupaten Bogor, Jawa Barat"
"Tajur, Bogor","(-6.629732, 106.824916)","Tajur, Kec. Bogor Tim., Kota Bogor, Jawa Barat"
"Pasir Kuda, Bogor","(-6.6069484, 106.783503)","Pasirkuda, Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Ciawi, Bogor","(-6.658375, 106.8506135)","Ciawi, Kec. Ciawi, Kabupaten Bogor, Jawa Barat"
"Karang Tengah, Bogor","(-6.6002199, 106.93231)","Karang Tengah, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat"
"Bukit Sentul, Bogor","(-6.5815392, 106.8571083)","Jl. Bukit Sentul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat 16810"
"Sindang Barang, Bogor","(-6.5757455, 106.7608894)","Sindangbarang, Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Citaringgul, Bogor","(-6.5682695, 106.8546795)","Citaringgul, Kec. Babakan Madang, Kabupaten Bogor, Jawa Barat"
"Bantar Jati, Bogor","(-6.5766146, 106.8058735)","Bantarjati, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Cilendek, Bogor","(-6.5700495, 106.766599)","Cilendek Bar., Kec. Bogor Bar., Kota Bogor, Jawa Barat"
"Pasirlaja, Bogor","(-6.5501679, 106.836927)","Pasirlaya, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat"
"Semplak, Bogor","(-6.5446135, 106.7498216)","Semplak Bar., Kec. Kemang, Kabupaten Bogor, Jawa Barat"
"Cibuluh, Bogor","(-6.560325, 106.8151974)","Cibuluh, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Kedungwaringin, Bogor","(-6.5667204, 106.781873)","Kedung Waringin, Kec. Tanah Sereal, Kota Bogor, Jawa Barat"
"Kedungbadak, Bogor","(-6.5624554, 106.7991119)","Kedungbadak, Kec. Tanah Sereal, Kota Bogor, Jawa Barat"
"Sukamaju, Bogor","(-6.451025, 107.048305)","Sukamaju, Kec. Jonggol, Kabupaten Bogor, Jawa Barat"
"Sukatani, Bogor","(-6.6087049, 106.8405749)","Sukatani, Kec. Sukaraja, Kabupaten Bogor, Jawa Barat"
"Sempur, Bogor","(-6.58616, 106.7984435)","Sempur, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat"
"Pamoyanan, Bogor","(-6.640898, 106.8034651)","Pamoyanan, Kec. Bogor Sel., Kota Bogor, Jawa Barat"
"Pabaton, Bogor","(-6.5889641, 106.794137)","Pabaton, Kecamatan Bogor Tengah, Kota Bogor, Jawa Barat"
"Ciseeng, Bogor","(-6.459164, 106.682845)","Kec. Ciseeng, Kabupaten Bogor, Jawa Barat"
"Jonggol, Bogor","(-6.50635, 107.055555)","Kec. Jonggol, Kabupaten Bogor, Jawa Barat"
"Ciampea, Bogor","(-6.5738261, 106.7016842)","Ciampea, Kec. Ciampea, Kabupaten Bogor, Jawa Barat"
"Laladon, Bogor","(-6.583321, 106.75488)","Laladon, Kec. Ciomas, Kabupaten Bogor, Jawa Barat"
"Rangga Mekar, Bogor","(-6.624411, 106.802212)","Ranggamekar, Kec. Bogor Sel., Kota Bogor, Jawa Barat"
"Tegal Gundi, Bogor","(-6.5809899, 106.8144301)","Tegal Gundil, Kec. Bogor Utara, Kota Bogor, Jawa Barat"
"Batutulis, Bogor","(-6.6219274, 106.8088855)","Batutulis, Kec. Bogor Sel., Kota Bogor, Jawa Barat"
"Ciangsana, Bogor","(-6.3567365, 106.9572416)","Ciangsana, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat"
"Puncak, Bogor","(-6.7028187, 106.9990215)","Puncak, Bogor, "
"Cisarua, Bogor","(-6.6854146, 106.9373056)","Cisarua, Kec. Cisarua, Kabupaten Bogor, Jawa Barat"
"Cimangu, Bogor","(-6.5669486, 106.7941563)","Jl. Cimanggu Barata, Kec. Tanah Sereal, Kota Bogor, Jawa Barat"
"Kranggan, Bogor","(-6.4586765, 106.8865725)","Karanggan, Kec. Gn. Putri, Kabupaten Bogor, Jawa Barat"
"Cikaret, Bogor","(-6.6180945, 106.7883196)","Cikaret, Kec. Bogor Sel., Kota Bogor, Jawa Barat"
"Tenjo, Bogor","(-6.372885, 106.4868765)","Kec. Tenjo, Kabupaten Bogor, Jawa Barat"
"Gadog, Bogor","(-6.6622971, 106.8715785)","Gadog, Kec. Megamendung, Kabupaten Bogor, Jawa Barat"
"Rumpin, Bogor","(-6.4566396, 106.6402451)","Kec. Rumpin, Kabupaten Bogor, Jawa Barat"
"Pancoran Mas, Depok","(-6.399113, 106.7999535)","Kec. Pancoran Mas, Kota Depok, Jawa Barat"
"Kelapa Dua, Depok","(-6.3637317, 106.8430567)","Jl. Klp. Dua Raya, Kota Depok, Jawa Barat"
"Cimanggis, Depok","(-6.367494, 106.874766)","Kec. Cimanggis, Kota Depok, Jawa Barat"
"Cinangka, Depok","(-6.3703875, 106.7606085)","Cinangka, Kec. Sawangan, Kota Depok, Jawa Barat"
"Bojong Sari, Depok","(-6.3994989, 106.7358134)","Kec. Bojongsari, Kota Depok, Jawa Barat"
"Cilodong, Depok","(-6.4281714, 106.8368844)","Kec. Cilodong, Kota Depok, Jawa Barat"
"Limo, Depok","(-6.3663035, 106.7796109)","Kec. Limo, Kota Depok, Jawa Barat"
"Tapos, Depok","(-6.4213209, 106.885539)","Kec. Tapos, Kota Depok, Jawa Barat"
"Sukmajaya, Depok","(-6.3977255, 106.8427795)","Kec. Sukmajaya, Kota Depok, Jawa Barat"
"Rangkapanjaya, Depok","(-6.3992555, 106.7888555)","Rangkapan Jaya, Kec. Pancoran Mas, Kota Depok, Jawa Barat"
"Cinere, Depok","(-6.332401, 106.7907829)","Kec. Cinere, Kota Depok, Jawa Barat"
"Pangkalan Jati, Depok","(-6.3212495, 106.7884925)","Pangkalan Jati, Kec. Cinere, Kota Depok, Jawa Barat"
"Sawangan, Depok","(-6.397933, 106.7679611)","Kec. Sawangan, Kota Depok, Jawa Barat"
"Sukatani, Depok","(-6.3942805, 106.888672)","Sukatani, Kec. Tapos, Kota Depok, Jawa Barat"
"Cipayung, Depok","(-6.4325705, 106.8031284)","Kec. Cipayung, Kota Depok, Jawa Barat"
"Beji, Depok","(-6.3723065, 106.818092)","Kecamatan Beji, Kota Depok, Jawa Barat"
"Harjamukti, Depok","(-6.3749655, 106.8971395)","Harjamukti, Kec. Cimanggis, Kota Depok, Jawa Barat"
"Margonda, Depok","(-6.3792957, 106.8309995)","Jl. Margonda Raya, Kota Depok, Jawa Barat"
"Depok II, Depok","(-6.8948278, 109.7716914)","Depok II, Depok, Kec. Kandeman, Kabupaten Batang, Jawa Tengah"
"Krukut, Depok","(-6.3590135, 106.7902014)","Krukut, Kec. Limo, Kota Depok, Jawa Barat"
"Tanah Baru, Depok","(-6.3767379, 106.8025235)","Tanah Baru, Kecamatan Beji, Kota Depok, Jawa Barat"
"Kukusan, Depok","(-6.3654336, 106.8190899)","Kukusan, Kecamatan Beji, Kota Depok, Jawa Barat"
"Cisalak, Depok","(-6.386641, 106.8618735)","Cisalak, Kec. Sukmajaya, Kota Depok, Jawa Barat"
"Cilangkap, Depok","(-6.4302145, 106.87035)","Cilangkap, Kec. Tapos, Kota Depok, Jawa Barat"
"Tirtajaya, Depok","(-6.4133935, 106.8282605)","Tirtajaya, Kec. Sukmajaya, Kota Depok, Jawa Barat"
"Gandul, Depok","(-6.337565, 106.7914685)","Gandul, Kec. Cinere, Kota Depok, Jawa Barat"
"Jelambar, Jakarta Barat","(-6.15966, 106.786205)","Jelambar, Kec. Grogol petamburan, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta"
"Jagakarsa, Jakarta Selatan","(-6.3304165, 106.8254635)","Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Bintaro, Jakarta Selatan","(-6.270389, 106.76168)","Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Kebagusan, Jakarta Selatan","(-6.3092895, 106.831021)","Kebagusan, Kec. Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta"
"Pantai Indah Kapuk, Jakarta Utara","(-6.1024783, 106.7411903)","Jl. Pantai Indah Kapuk, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta"
