url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,kt. pembantu,km. pembantu,garasi,jumlah lantai,kondisi properti,kondisi perabotan,hadap,id iklan,tahun dibangun,bedrooms,bathrooms,land size,building size,carports,certificate,maid bedrooms,maid bathrooms,garages,floors,property condition,furnishing,building orientation,electricity,building age
https://www.rumah123.com/properti/jakarta-barat/hos11255421/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,"2,2",Miliar,Hot Item Di Jakbar 5x25 Meruya Utara 2.25m,"Meruya, Jakarta Barat","Keamanan 24 jam, Playground, Wastafel, Tempat Jemuran,  Tempat Laundry",3,3,125 m²,140 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,1,2,2,baru,unfurnished,,hos11255421,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos4450838/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,"6,5",Miliar,"Rumah Taman Permata Buana , Minimalis ,  Bagus . Brand new","Permata Buana, Jakarta Barat","Taman, Track Lari,  Jogging Track, Keamanan",,,,,,rumah,,,,,,,,,,hos4450838,,4,3,144 m²,400 m²,2,shm - sertifikat hak milik,1,1,2,3,baru,unfurnished,utara,2200 mah,2015
https://www.rumah123.com/properti/jakarta-timur/hos11335357/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,2,Miliar,"Rumah Siap Huni di Tb Simatupang Cuman 2 M, Bisa Dibantu Kpr","Pasar Rebo, Jakarta Timur","Keamanan 24 jam, Taman,  Taman, Jalur Telepon,  CCTV, Kitchen Set, Wastafel,  One Gate System, Tempat Jemuran",3,3,98 m²,92 m²,1,rumah,shm - sertifikat hak milik,2200 mah,1,1,,2,baru,unfurnished,,hos11335357,2020,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11143584/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,709,Juta,Rumah Mewah SHM 2 Lantai jl lio rawamangun Jakarta Timur,"Rawamangun, Jakarta Timur","One Gate System, Akses Parkir",3,3,37 m²,57 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,1,2,bagus,unfurnished,,hos11143584,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11334044/#qid~ee7b0714-b8af-457d-8e16-f025e4b2e8e5,Rp,25,Miliar,RUMAH BARU MEWAH MURAH STRATEGIS DI SENOPATI KEBAYORAN BARU,"Senopati, Jakarta Selatan","Taman, Keamanan 24 jam,  Taman, One Gate System, Kulkas, Kolam Renang, Wastafel,  Keamanan, Tempat Jemuran,  Kitchen Set",4,4,200 m²,500 m²,2,rumah,shm - sertifikat hak milik,,2,1,2,3,baru,semi furnished,timur,hos11334044,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11036690/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,418,Juta,Rumah Murah 2 lantai di Utan Kayu di Jalan Kamboja Utan Kayu,"Utan Kayu, Jakarta Timur","CCTV, Keamanan",2,1,18 m²,35 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,selatan,hos11036690,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-timur/hos11313987/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,858,Juta,Rumah Modern Elegan 2 lantai di Jalan Lio Pulo Gadung SHM Baru,"Pulo Gadung, Jakarta Timur","Taman, Tempat Jemuran, Keamanan",3,3,39 m²,63 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,barat,hos11313987,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-pusat/hos11331578/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,506,Juta,"Rumah Murah Minimalis SHM di Sumur Batu Kemayoran, Jakarta Pusat","Cempaka Putih, Jakarta Pusat","Taman, Keamanan 24 jam",2,2,23 m²,43 m²,,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,selatan,hos11331578,2022,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11034253/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,528,Juta,Rumah Minimalis Murah di Jl. Taman Sari  Jakarta Barat 2 Lantai,"Tamansari, Jakarta Barat","CCTV, Keamanan",,,,,,rumah,,,,,,,,,,hos11034253,,2,2,22 m²,42 m²,,shm - sertifikat hak milik,,,,2,baru,unfurnished,timur,2200 mah,2022
https://www.rumah123.com/properti/jakarta-timur/hos11313394/#qid~ef263a63-0a07-40b0-bb43-ca991917c667,Rp,764,Juta,Rumah Minimalis Elegan 2 Lantai SHM di Matraman Jakarta Timur,"Matraman, Jakarta Timur",Keamanan,2,1,32 m²,56 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,,,2,baru,unfurnished,timur,hos11313394,2022,,,,,,,,,,,,,,,
