url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,km. pembantu,garasi,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,garages,floors,building age,property condition,furnishing,building orientation
https://www.rumah123.com/properti/tangerang/hos11011955/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"2,5",Miliar,"Rumah di Belle Fleur, Citra Raya Tangerang","Cikupa Citra Raya, Tangerang","Taman, Ac,  Keamanan",3,3,160 m²,200 m²,,rumah,shm - sertifikat hak milik,5500 mah,,,2,,bagus sekali,semi furnished,,hos11011955,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11086497/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"3,75",Miliar,"Rumah di Sutera Delima, Alam Sutera Serpong Tangerang","Alam Sutera, Tangerang","Jalur Telepon, Kitchen Set, Keamanan 24 jam, AC, Taman,  One Gate System",5,3,200 m²,150 m²,,rumah,shm - sertifikat hak milik,3500 mah,1,,1,,bagus,furnished,timur,hos11086497,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11140754/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"2,7",Miliar,"Rumah Full Furnish Tipe 4 Kamar di Bsd Dekat Aeon, Tol, Stasiun","BSD, Tangerang"," Pemanas Air, Kitchen Set, Keamanan 24 jam, Wastafel,  CCTV, Taman,  One Gate System",4,3,100 m²,84 m²,2,rumah,shm - sertifikat hak milik,2200 mah,,,3,,baru,furnished,timur laut,hos11140754,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos10880748/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,12,Miliar,"Cluster Enchante Tipe 12x25 Rumah Mewah di Bsd Dekat Aeon, Pintu Tol,stasiun","BSD, Tangerang"," Keamanan,  Jogging Track, AC,  CCTV,  Kolam Renang, Taman",5,7,300 m²,480 m²,2,rumah,shm - sertifikat hak milik,11000 mah,1,2,3,2022,baru,,,hos10880748,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos10886131/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,23,Miliar,"Cluster Enchante Rumah Sultan di Bsd Lokasi Premium Dekat Mall, Tol","BSD, Tangerang"," Keamanan,  Jogging Track, AC,  CCTV,  Kolam Renang, Taman",5,7,558 m²,760 m²,3,rumah,shm - sertifikat hak milik,11000 mah,1,2,3,2022,baru,,,hos10886131,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11140495/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"5,05",Miliar,"Rumah 2 Lantai Terbaru, di ALAM SUTERA. 2 menit KE MALL. 5 MENIT KE RUMAH SAKIT","Alam Sutera, Tangerang"," Ac,  Taman, CCTV, Jogging Track, Keamanan, Keamanan 24 jam, AC,  CCTV, Track Lari,  Kolam Renang, Taman",4,3,140 m²,176 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,,2,2022,baru,semi furnished,utara,hos11140495,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos10852234/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"6,94",Miliar,"Rumah Paling Untung Se Cluster, Dapat Tanah Vasum, Full Marmer","Alam Sutera, Tangerang"," Keamanan,  Jogging Track, Taman, AC,  CCTV,  Kolam Renang,  Jalur Telepon",4,4,205 m²,241 m²,3,rumah,"lainnya (ppjb,girik,adat,dll)",3500 mah,1,,3,2022,baru,semi furnished,timur,hos10852234,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos10835383/#qid~b392b0bd-5b99-4d52-8dad-2ca03ede62f2,Rp,"4,27",Miliar,"Dekat Clubhouse, Dapat Extra Tanah, Dijamin Harga Terbaik","Alam Sutera, Tangerang"," Keamanan,  Jogging Track, Taman, Ac,  CCTV,  Kolam Renang,  Jalur Telepon",3,2,200 m²,155 m²,2,rumah,,3500 mah,1,,2,2021,baru,semi furnished,timur,hos10835383,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11084387/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"4,27",Miliar,JAMINAN AFTER SALES TERBAIK ! RUMAH DI ALAM SUTERA HANYA SELANGKAH KE MALL LIVING WORLD,"Alam Sutera, Tangerang"," Jogging Track, Taman, Ac,  Keamanan",3,2,200 m²,155 m²,2,rumah,,2200 mah,1,,2,2021,baru,semi furnished,selatan,hos11084387,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/tangerang/hos11084222/#qid~081d392b-51c4-4ebe-a78e-182ff09ec21c,Rp,"3,83",Miliar,"Cluster di Alam Sutera, Kawasan Hijau Lokasi Strategis di Pusat CBD Alam Sutera Tangerang.","Alam Sutera, Tangerang"," Ac,  Keamanan, Jogging Track, AC, Track Lari,  Kolam Renang, Taman",3,2,105 m²,134 m²,2,rumah,shm - sertifikat hak milik,2200 mah,1,,2,2022,baru,semi furnished,selatan,hos11084222,1,,,,,,,,,,,,,,,
