url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,garasi,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,km. pembantu,bedrooms,bathrooms,land size,building size,certificate,electricity,floors,building age,property condition,carports,garages,furnishing,building orientation,maid bedrooms,maid bathrooms
https://www.rumah123.com/properti/bogor/hos11086721/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,770,Juta,DP 0 Rumah Mewah 2 Lantai Deket Tol dan Stasiun,"Sentul, Bogor"," Jogging Track,  CCTV, Taman,  Masjid, Jalur Telepon,  Keamanan",3,2,77 m²,60 m²,1,rumah,shm - sertifikat hak milik,2200 mah,1,2,2022,baru,unfurnished,timur,hos11086721,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11083066/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,29,Miliar,Rumah Konsep Villa 1 Lantai View Golf Sentul City,"Sentul City, Bogor","Tempat Jemuran,  AC, Kitchen Set, Keamanan 24 jam,  Taman, Wastafel, One Gate System, Jalur Telepon",4,4,1250 m²,700 m²,2,rumah,shm - sertifikat hak milik,3300 mah,2,1,2014,bagus,unfurnished,,hos11083066,2,2,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11082978/#qid~17ccf055-4c56-47e7-a99f-e5a903ae1ca7,Rp,"14,5",Miliar,Rumah Bagus View Golf Dan Gunung Siap Huni Sentul City,"Sentul City, Bogor","Tempat Jemuran, Keamanan 24 jam, Wastafel, One Gate System, AC, Jalur Telepon",4,4,886 m²,500 m²,,rumah,shm - sertifikat hak milik,3300 mah,3,2,2015,,unfurnished,,hos11082978,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11082781/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"7,9",Miliar,Rumah Mediterania Bagus Plus Kolam Renang Sentul City,"Sentul City, Bogor","Tempat Jemuran,  Kolam Renang,  AC, Kitchen Set, Keamanan 24 jam,  CCTV,  Playground, Wastafel, One Gate System, Jalur Telepon",5,3,630 m²,600 m²,1,rumah,shm - sertifikat hak milik,3500 mah,1,2,2014,bagus,semi furnished,,hos11082781,2,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086680/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,410,Juta,"Rumah Elegant, Murah dan Strategis di Parung, Bogor","Parung, Bogor"," Jogging Track,  Taman, Ac,  Masjid, Jalur Telepon,  Keamanan",2,1,60 m²,36 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,1,2022,baru,unfurnished,selatan,hos11086680,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086637/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"2,4",Miliar,Dijual Cepat Rumah di Cibubur,"Cibubur, Bogor","Tempat Jemuran, Lapangan Tenis,  Akses Parkir,  One Gate System,  Track Lari, Masjid, Keamanan 24 jam,  Lapangan Bulu Tangkis,  Taman,  Tempat Laundry,  CCTV, Taman,  Playground, Lapangan Basket",2,2,200 m²,150 m²,,rumah,shm - sertifikat hak milik,3500 mah,2,2,2000,bagus,unfurnished,barat,hos11086637,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086516/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,699,Juta,Cluster Mewah harga murah strategis bonus Honda Scoopy,"Kota Wisata, Bogor"," Ac, Jalur Telepon, Masjid,  Keamanan",2,1,90 m²,45 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,1,2022,baru,unfurnished,utara,hos11086516,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086166/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"1,65",Miliar,Rumah murah posisi hook Sentul city,"Sentul City, Bogor","Jalur Telepon, Taman,  Keamanan",3,1,232 m²,120 m²,1,rumah,shm - sertifikat hak milik,1300 mah,1,1,2005,butuh renovasi,unfurnished,utara,hos11086166,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086164/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"2,5",Miliar,Rumah hook view gunung pancar Sentul city,"Sentul City, Bogor","Jalur Telepon, Keamanan,  Taman,  AC",3,2,315 m²,200 m²,1,rumah,shm - sertifikat hak milik,2200 mah,1,2,2016,bagus,unfurnished,selatan,hos11086164,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086151/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"1,1",Miliar,Rumah murah view gunung cluster Cadenza Sentul alaya,"Sentul City, Bogor","Jalur Telepon, Taman,  Keamanan,  AC",2,2,90 m²,60 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,1,2019,bagus,semi furnished,utara,hos11086151,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086169/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"1,6",Miliar,Rumah hook Sentul city,"Sentul City, Bogor"," Jalur Telepon, Jalur Telepon, Keamanan, Taman",2,1,248 m²,100 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,1,2006,bagus,unfurnished,selatan,hos11086169,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086173/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"1,35",Miliar,Rumah view gunung pancar Sentul city,"Sentul City, Bogor","Keamanan 24 jam,  Taman, Taman, Jalur Telepon, Keamanan",3,2,108 m²,100 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,2,2006,bagus,semi furnished,barat,hos11086173,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086183/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,3,Miliar,Rumah hook view gunung Sentul city,"Sentul City, Bogor","Jalur Telepon, Taman,  Keamanan",3,2,328 m²,160 m²,1,rumah,hgb - hak guna bangunan,2200 mah,1,2,2016,bagus,semi furnished,selatan,hos11086183,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086179/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,850,Juta,Rumah siap huni besakih Sentul city,"Sentul City, Bogor"," Masjid, Jalur Telepon, Taman,  Keamanan",2,2,90 m²,65 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,1,2019,bagus,unfurnished,selatan,hos11086179,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086175/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"1,35",Miliar,Rumah murah posisi hook Sentul city,"Sentul City, Bogor"," Jogging Track, Jalur Telepon, Keamanan,  Taman",2,1,211 m²,53 m²,1,rumah,"lainnya (ppjb,girik,adat,dll)",1300 mah,,1,2002,butuh renovasi,unfurnished,selatan,hos11086175,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086185/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"1,15",Miliar,Rumah siap huni equator Sentul city,"Sentul City, Bogor","Jalur Telepon, Keamanan,  Taman",3,3,78 m²,100 m²,1,rumah,shm - sertifikat hak milik,2200 mah,,1,2019,bagus,semi furnished,utara,hos11086185,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086182/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,960,Juta,Cluster Hydroponic Huis grand Bukit Dago,"Gunung Sindur, Bogor","Tempat Jemuran, Lapangan Bola,  Akses Parkir, Lapangan Tenis,  Kolam Renang, Masjid,  Lapangan Voli, Keamanan 24 jam,  Lapangan Bulu Tangkis,  Taman,  Tempat Laundry,  CCTV,  Playground, Wastafel,  Lapangan Basket, Jalur Telepon,  Track Lari",2,2,60 m²,94 m²,2,rumah,"lainnya (ppjb,girik,adat,dll)",2200 mah,,2,2022,bagus,unfurnished,,hos11086182,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086095/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"3,95",Miliar,Rumah hook di cluster elite Sentul city,"Sentul City, Bogor","Jalur Telepon, Keamanan,  Taman",4,3,328 m²,250 m²,2,rumah,shm - sertifikat hak milik,3300 mah,1,2,2017,bagus,semi furnished,barat,hos11086095,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11086060/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"5,3",Miliar,Rumah villa view gunung Sentul city,"Sentul City, Bogor"," Jalur Telepon,  Kolam Renang,  AC,  Taman, Jogging Track, Keamanan",4,4,481 m²,250 m²,4,rumah,shm - sertifikat hak milik,5500 mah,2,2,2021,baru,semi furnished,utara,hos11086060,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11085533/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"3,85",Miliar,Rumah siap taman Yunani Sentul city,"Sentul City, Bogor"," Jalur Telepon, Keamanan, Kolam Renang,  Taman",4,3,224 m²,220 m²,2,rumah,shm - sertifikat hak milik,5500 mah,2,2,2017,bagus,furnished,utara,hos11085533,2,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11085628/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"4,1",Miliar,Rumah hook view gunung cluster Sentul city,"Sentul City, Bogor","Jalur Telepon,  Keamanan,  Taman, AC",4,3,488 m²,250 m²,2,rumah,shm - sertifikat hak milik,3300 mah,2,2,2010,bagus,semi furnished,selatan,hos11085628,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11085223/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"3,5",Miliar,Rumah murah cluster bgh sentul city,"Sentul City, Bogor"," Jalur Telepon, Keamanan, Taman",2,3,323 m²,220 m²,4,rumah,shm - sertifikat hak milik,5500 mah,,2,2008,bagus,furnished,timur,hos11085223,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11085217/#qid~4f3f9ada-f39c-486d-9741-b8c8024d07d4,Rp,"3,2",Miliar,Rumah murah cluster Sierra Madre Sentul city,"Sentul City, Bogor"," Jalur Telepon, Keamanan,  Taman, AC",3,3,406 m²,250 m²,1,rumah,shm - sertifikat hak milik,2200 mah,1,2,2006,bagus,semi furnished,selatan,hos11085217,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11085205/#qid~b39d3b73-d755-416a-af23-160c4b069ab4,Rp,800,Juta,Rumah murah 2 lantai cluster Sentul city,"Sentul City, Bogor"," Jalur Telepon, Taman,  Keamanan, AC",3,3,120 m²,120 m²,1,rumah,shm - sertifikat hak milik,1300 mah,,2,2006,bagus,unfurnished,utara,hos11085205,,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11085269/#qid~b39d3b73-d755-416a-af23-160c4b069ab4,Rp,"14,5",Miliar,Rumah view gunung golf dan danau cluster Sentul city,"Sentul City, Bogor","Jalur Telepon, Taman,  Keamanan",4,4,866 m²,500 m²,4,rumah,shm - sertifikat hak milik,5500 mah,,2,2017,bagus,furnished,utara,hos11085269,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11085228/#qid~b39d3b73-d755-416a-af23-160c4b069ab4,Rp,"8,5",Miliar,Rumah baru clasike modern Sentul city,"Sentul City, Bogor","Jalur Telepon, Taman,  Keamanan,  Kolam Renang",,,,,,rumah,,,,,,,,,hos11085228,,,5,5,309 m²,600 m²,shm - sertifikat hak milik,6600 mah,2,2021,bagus,2,2,unfurnished,selatan,1,1
https://www.rumah123.com/properti/bogor/hos11085294/#qid~b39d3b73-d755-416a-af23-160c4b069ab4,Rp,"3,8",Miliar,Rumah tahap pinishing cluster Sentul city,"Sentul City, Bogor"," Jalur Telepon,  Kolam Renang,  AC, Taman, Keamanan",4,4,315 m²,250 m²,2,rumah,shm - sertifikat hak milik,3500 mah,1,2,2022,baru,unfurnished,barat,hos11085294,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11085302/#qid~b39d3b73-d755-416a-af23-160c4b069ab4,Rp,"15,5",Miliar,Rumah mewah view golf dan gunung cluster Sentul city,"Sentul City, Bogor"," Jalur Telepon,  AC, Kolam Renang,  Taman, Jogging Track,  Keamanan",3,4,1153 m²,500 m²,3,rumah,shm - sertifikat hak milik,5500 mah,1,2,2018,bagus,semi furnished,barat,hos11085302,,1,,,,,,,,,,,,,,,
