url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,km. pembantu,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,id iklan,carport,hadap,garasi,kt. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,maid bedrooms,maid bathrooms,floors,building age,property condition,building orientation,garages,furnishing
https://www.rumah123.com/properti/bekasi/hos11284746/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,650,Juta,Rumah Telaga Mas (Duta Harapan) Blok F3/6 Bekasi Utara - Kota Bekasi (BELAKANG SUMARECON BEKASI),"Harapan Baru, Bekasi","Tempat Jemuran, Masjid, Keamanan,  Taman",2,1,72 m²,60 m²,rumah,shm - sertifikat hak milik,1300 mah,,1,2022,baru,unfurnished,hos11284746,1,utara,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11359633/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,800,Juta,Rumah Modern  Minimalis,"Tarumajaya, Bekasi"," Jalur Telepon, Tempat Jemuran, Track Lari, Tempat Gym,  One Gate System, Akses Parkir, Keamanan 24 jam,  Taman,  Playground, Wastafel, Jogging Track, Jalur Telepon, Keamanan",2,1,90 m²,54 m²,rumah,hgb - hak guna bangunan,1300 mah,,1,2016,bagus,semi furnished,hos11359633,1,utara,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11284264/#qid~f9b697ad-ef6f-408c-81ae-ab822352c42a,Rp,999,Juta,"RUMAH 2 LANTAI DI PERUMAHAN DUTA HARAPAN, MURAH, BARU","Bekasi Utara, Bekasi","Tempat Jemuran, Lapangan Tenis,  Akses Parkir,  One Gate System, Masjid, Keamanan 24 jam,  Taman,  Tempat Laundry, Taman,  Playground,  Keamanan",3,2,75 m²,99 m²,rumah,shm - sertifikat hak milik,1300 mah,1,1,2022,baru,unfurnished,hos11284264,1,utara,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10680347/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,27",Miliar,"Rumah Kekinian, Magenta Summarecon Bekasi","Summarecon Bekasi, Bekasi",Taman,,,,,rumah,,,,,,,,hos10680347,,,,,3,2,55 m²,69 m²,1,hgb - hak guna bangunan,2200 mah,,,2,,bagus,,,
https://www.rumah123.com/properti/bekasi/hos10285881/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"2,75",Miliar,"Rumah 2 Lantai Lt 225 Lb 211 di Perumahan Tni Au Jaladha Pura Bekasi Timur, Bekasi","Bekasi Timur, Bekasi"," Jalur Telepon,  Ac, Masjid,  Taman, Keamanan",6,4,225 m²,211 m²,rumah,,3500 mah,1,2,,,,hos10285881,1,barat,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10538573/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,995,Juta,"Rumah 2 Lantai Lb90 Lt80 Unfurnished SHM di Jalan Raya Parpostel Jatiasih Bojongkulur Dekat Superindo Bekasi , Bekasi","Jati Asih, Bekasi"," Ac, Keamanan, Taman",3,2,80 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2021,baru,unfurnished,hos10538573,,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos10691944/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,65",Miliar,"Dijual Rumah 4 Kamar Tidur Perumnas, Kayuringin Jaya, Bekasi","Kayuringin Jaya, Bekasi"," Masjid, Taman,  Keamanan, AC",4,1,123 m²,100 m²,rumah,shm - sertifikat hak milik,2200 mah,,1,,bagus,unfurnished,hos10691944,1,barat,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos6079521/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,750,Juta,rumah di bintara jaya dekat gto pondok kelapa lokasi aman dari banjir,"Bintara, Bekasi","Tempat Jemuran,  Ac, Lapangan Bola,  Taman, AC,  Masjid, CCTV, Jalur Telepon,  Keamanan",3,2,50 m²,100 m²,rumah,shm - sertifikat hak milik,1300 mah,,2,2022,baru,,hos6079521,1,selatan,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11074422/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,05",Miliar,rumah Cluster syafika lokasi dekat toll jatibening hunian bebas banjir,"Jatibening, Bekasi","Tempat Jemuran,  Ac,  Akses Parkir,  AC, Masjid, Kitchen Set, Keamanan 24 jam,  Taman,  CCTV, Taman, Wastafel,  Masjid, Jalur Telepon,  Keamanan",3,2,72 m²,90 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,2022,baru,,hos11074422,1,timur,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bekasi/hos11158753/#qid~748f5d2d-8d3a-4a4e-a1b4-37c7be7ffc25,Rp,"1,4",Miliar,"Rumah Dalam Townhouse di Cluster Royalwood Park, Jatiasih","Jati Asih, Bekasi","Track Lari,  Akses Parkir,  One Gate System,  Kolam Renang, Masjid, Kitchen Set, Keamanan 24 jam,  Taman, Taman, Wastafel",2,2,112 m²,71 m²,rumah,shm - sertifikat hak milik,2200 mah,,2,,bagus,semi furnished,hos11158753,1,,,,,,,,,,,,,,,,,,
