url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,floors,building age,property condition,furnishing,building orientation,garasi,kt. pembantu,maid bedrooms,km. pembantu,garages,maid bathrooms
https://www.rumah123.com/properti/depok/hos11079953/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,754,Juta,PERUMAHAN AHSANU 'AMALA RESIDENCE DI CINANGKA DEPOK,"Cinangka, Depok","Masjid, Keamanan,  Taman",3,2,50 mÂ²,70 mÂ²,,rumah,shm - sertifikat hak milik,1300 mah,2,2022,baru,,timur,hos11079953,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos10319973/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,900,Juta,Townhouse 2 lantai dengan segala keuntungan,"Pancoran Mas, Depok"," CCTV, Keamanan,  Taman, Jogging Track",2,1,60 mÂ²,72 mÂ²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,semi furnished,utara,hos10319973,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos9671070/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,800,Juta,"Cluster Terdekat Stasiun Hanya 1.7km Rumah 2 Lantai Dekat Jalan Raya GDC Depok, 5 Menit Alun-Alun, Akses Tol","Sukmajaya, Depok"," AC,  CCTV, Taman,  Masjid, Keamanan",3,2,70 mÂ²,68 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus sekali,unfurnished,timur,hos9671070,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos9747597/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,750,Juta,Rumah 2 lantai Siap Huni akses jalan besar dekat ke TangSel JakSel akses Tol Jorr dan Desari,"Sawangan, Depok","Ac,  Keamanan, Taman",3,2,70 mÂ²,69 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,timur,hos9747597,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos9757830/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,600,Juta,Rumah Cantik Depok Nuansa Bali 10 menit Tol Jorr Desari Dekat Jakarta Selatan,"Sawangan, Depok","Ac, Taman",2,1,68 mÂ²,38 mÂ²,1,rumah,shm - sertifikat hak milik,1300 mah,1,2022,baru,unfurnished,timur,hos9757830,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos9830248/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,999,Juta,Rumah 2 Lamtai Depok GDC Tanah Luas Lokasi Pinggir Jalan Raya Siap Huni Raya,"Cilodong, Depok","Ac,  Keamanan, Taman",3,2,89 mÂ²,80 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,baru,unfurnished,timur,hos9830248,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos10293345/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,970,Juta,Rumah 2 Lantai tanah luas dekat Grand Depok City Akses jalan besar Dekat Stasiun dan Tol Cijago,"Cilodong, Depok","Tempat Jemuran, Wastafel, Taman, AC, Keamanan",3,2,81 mÂ²,70 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,,hos10293345,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos10407461/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,897,Juta,"Rumah 2 Lantai Radar Auri Mekarsari Cimanggis Depok Nempel Jakarta Timur Dekat ke Jalan Raya, Tol Cijago Cisalak","Cimanggis, Depok","Tempat Jemuran,  Kolam Renang,  AC, Masjid,  Taman, Taman, Wastafel, AC, Jalur Telepon,  Keamanan",3,2,70 mÂ²,70 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,,hos10407461,,,,,,,,,,,,,2,,,,,
https://www.rumah123.com/properti/depok/hos10806831/#qid~c474674f-53f6-4bce-8544-dc04231a551b,Rp,607,Juta,"Rumah 2 Lantai SHM di Cilangkap, Depok 5 Menit Ke Jalan Raya Bogor Akses Dekat Tol Cimanggis","Cimanggis, Depok","Tempat Jemuran,  One Gate System,  AC, Masjid, Keamanan 24 jam,  Taman, Pemanas Air,  CCTV, Taman, Wastafel, Keamanan",2,2,60 mÂ²,46 mÂ²,1,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,,hos10806831,,,,,,,,,,,,,1,,,,,
https://www.rumah123.com/properti/depok/hos10901968/#qid~9ce4817e-4140-4eb8-a138-c33b7ee58a54,Rp,580,Juta,Rumah 2 Lantai di Jatimulya Depok 5 Menit Ke Gdc Dekat Tol Margonda,"Cilodong, Depok","Tempat Jemuran,  CCTV, Taman, Wastafel, AC,  Keamanan",3,2,60 mÂ²,54 mÂ²,2,rumah,shm - sertifikat hak milik,2200 mah,2,2022,bagus,unfurnished,,hos10901968,,,,,,,,,,,,,2,,,,,
