url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,kondisi perabotan,hadap,id iklan,kt. pembantu,garasi,km. pembantu,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,garages,floors,building age,property condition,furnishing,maid bedrooms,maid bathrooms,building orientation
https://www.rumah123.com/properti/depok/hos11365817/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,615,Juta,Cluster Free Biaya - Biaya Dekat Margonda di GDC Tol dan Stasiun KRL Depok,"Cilodong, Depok"," Mushola, Security 24H,  One gate system, Taman minimalis,  Carport 1 mobil",3,2,60 m²,60 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365817,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365814/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,51",Miliar,Rumah Dekat Pintu Tol Cibubur Stasiun LRT Harjamukti Cimanggis Depok,"Cimanggis, Depok","kitchen set (opsional), AC",3,2,74 m²,88 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365814,,2,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365818/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,15",Miliar,Rumah Minimalis Modern Dekat Gerbang Toll Desari Pancoran Mas Depok,"Pancoran Mas, Depok"," smarthome, Carport 1 mobil, toren 500 liter",3,2,70 m²,100 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365818,,1,1,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365824/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,4",Miliar,Rumah Pinggir Jalan Raden Sanim Dekat Tanah Baru & TOL Depok,"Beji, Depok"," Free Kitchen Set, Void,  Taman,  Carport 2 Mobil, Pagar",3,3,100 m²,130 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365824,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365829/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,43",Miliar,Rumah Klasik Konsep Jawa Bali Ready Dekat Exit Tol Krukut Depok,"Limo, Depok"," One gate system,  Swimming Pool, Security 24 jam,  clubhouse, CCTV",,,,,,rumah,,,,,,,,hos11365829,,,,4,3,67 m²,90 m²,,shm - sertifikat hak milik,lainnya mah,1,2,2021,unfurnished,baru,,,
https://www.rumah123.com/properti/depok/hos11365820/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,47",Miliar,Cluster Baru Free Biaya - Biaya Dekat LRT TOL Cibubur Cimanggis Depok,"Cimanggis, Depok","Playground,  one gate system, Security24 jam,  Taman luas,  Musholla Exclusive,  Void,  Kolam renang anak,  Balkon",3,2,90 m²,90 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2020,unfurnished,baru,,hos11365820,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365827/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,27",Miliar,Rumah Archipelago Dekat Gate Tol Desari Sawangan Pancoran Mas Depok,"Pancoran Mas, Depok"," Canopy,  Security 24 jam, Pool, One gate system,  Carport 1 mobil",3,3,65 m²,92 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365827,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365822/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,45",Miliar,Rumah Ready Semi Tropical Dekat Tol Andara Pangkalan Jati Cinere Depok,"Cinere, Depok","Canopy, Carport 1 mobil",2,2,56 m²,93 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2021,unfurnished,baru,,hos11365822,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365828/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,"1,61",Miliar,Cluster Resort Free Biaya Dekat Kampus UI Kelapa Dua Cimanggis Depok,"Cimanggis, Depok",Carport 1 Mobil,3,2,151 m²,88 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2021,unfurnished,baru,,hos11365828,,1,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/depok/hos11365831/#qid~9d33a35c-03af-4db1-8564-7eaf91b3425e,Rp,1,Miliar,Rumah Scandinavian Smart Home Dalam Komplek Besar Pancoran Mas Depok,"Pancoran Mas, Depok","Smart Home, Backyard luas",3,2,100 m²,84 m²,,rumah,shm - sertifikat hak milik,lainnya mah,2,2022,unfurnished,baru,,hos11365831,,2,,,,,,,,,,,,,,,,
