url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,carport,tipe properti,sertifikat,daya listrik,jumlah lantai,tahun dibangun,kondisi properti,id iklan,kt. pembantu,km. pembantu,garasi,kondisi perabotan,hadap,bedrooms,bathrooms,land size,building size,certificate,maid bedrooms,maid bathrooms,floors,building age,property condition,furnishing,carports,electricity,garages,building orientation
https://www.rumah123.com/properti/jakarta-selatan/hos10005868/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"2,5",Miliar,Rumah siap Huni Dalam cluster Harga nego Dket ke stasiun Lenteng agung dan Toll Brigif,"Jagakarsa, Jakarta Selatan","Taman, AC, Ac",5,4,126 m²,240 m²,2,rumah,shm - sertifikat hak milik,3300 mah,2,2022,,hos10005868,,,,semi furnished,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos10179987/#qid~be1e2b63-d273-4b6f-9196-7b57abf803ed,Rp,"3,7",Miliar,RUMAH BARU DI JAGAKARSA,"Jagakarsa, Jakarta Selatan","Keamanan 24 jam, AC, Ac, Keamanan",5,5,139 m²,240 m²,2,rumah,shm - sertifikat hak milik,3500 mah,2,2022,baru,hos10179987,,,,semi furnished,timur laut,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos9079152/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"2,85",Miliar,RUMAH BARU MURAH PLUS MINI POLL DI CLUSTER DI LEBAK BULUS  JAKSEL,"Lebak Bulus, Jakarta Selatan","Taman, Kolam Renang",3,3,114 m²,150 m²,2,rumah,shm - sertifikat hak milik,4400 mah,1,2021,baru,hos9079152,1,1,,unfurnished,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11121999/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"4,19",Miliar,Rumah baru murah siap huni dalam cluster di pejaten barat jaksel,"Pejaten, Jakarta Selatan","Taman,  CCTV, Jalur Telepon,  Keamanan",4,3,152 m²,186 m²,2,rumah,shm - sertifikat hak milik,3300 mah,2,2022,baru,hos11121999,1,1,,semi furnished,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11238690/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,14,Miliar,Rumah mewah strategis full furnished di pondok indah  jaksel,"Pondok Indah, Jakarta Selatan","Keamanan 24 jam,  Pemanas Air,  Taman, Akses Parkir, Jalur Telepon,  Mesin Cuci,  CCTV,  Jalur Telepon, Ac, Kulkas,  AC,  Playground, Wastafel,  Keamanan,  One Gate System, CCTV, Tempat Jemuran,  Kitchen Set",,,,,,rumah,,,,,,hos11238690,,,,,,4,4,200 m²,400 m²,shm - sertifikat hak milik,2,1,3,2020,bagus,furnished,2,6600 mah,1,timur
https://www.rumah123.com/properti/jakarta-selatan/hos11308066/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"3,72",Miliar,Rumah Baru Mewah Siap Huni Dalam Cluster Di Jagakarsa Raya Jaksel,"Jagakarsa, Jakarta Selatan","Taman,  CCTV, Kitchen Set, CCTV, Tempat Jemuran, Keamanan",4,4,112 m²,240 m²,2,rumah,shm - sertifikat hak milik,3500 mah,3,2022,baru,hos11308066,2,1,2,semi furnished,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-selatan/hos11308774/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"3,45",Miliar,Rumah baru strategis dalam townhouse di cilandak raya kko jaksel,"Cilandak, Jakarta Selatan","Taman, Kitchen Set,  Keamanan, CCTV, Tempat Jemuran",4,3,94 m²,200 m²,2,rumah,shm - sertifikat hak milik,3300 mah,3,2022,baru,hos11308774,1,1,,semi furnished,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11308055/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,"3,6",Miliar,"Rumah Puri Indah 120m Hoek, Rapi Siap Huni, Semi Furnish","Puri Indah, Jakarta Barat",Tempat Jemuran,4,3,120 m²,200 m²,2,rumah,shm - sertifikat hak milik,,3,,bagus,hos11308055,1,1,,semi furnished,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11307960/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,12,Miliar,"Rumah Dutamas 378m, Kondisi Bagus Rapi Siap Huni, Semi Furnish","Jelambar, Jakarta Barat",Tempat Jemuran,5,4,378 m²,1000 m²,1,rumah,shm - sertifikat hak milik,6600 mah,3,,bagus,hos11307960,2,1,2,semi furnished,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/jakarta-barat/hos11307493/#qid~4b22cd4b-f458-4cb0-aea2-1cc22e3def3f,Rp,5,Miliar,"Rumah Citra 240m Hoek, Kondisi Rapi, Siap Huni, Lokasi Bagus","Citra Garden, Jakarta Barat",Taman,4,3,240 m²,250 m²,1,rumah,shm - sertifikat hak milik,,2,,bagus,hos11307493,1,1,,semi furnished,,,,,,,,,,,,,,,,
