url,currency,price,price_unit_scale,title,address,facilities,k. tidur,k. mandi,l. tanah,l. bangunan,tipe properti,sertifikat,daya listrik,jumlah lantai,kondisi properti,kondisi perabotan,id iklan,carport,kt. pembantu,km. pembantu,garasi,tahun dibangun,hadap,bedrooms,bathrooms,land size,building size,carports,certificate,electricity,garages,floors,property condition,furnishing,maid bedrooms,maid bathrooms,building orientation,building age
https://www.rumah123.com/properti/bogor/hos10702507/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,780,Juta,Rumah Strategis Bebas Banjir Dekat Cibinong di Griya Melati Mas Siap Kpr Harga All In,"Cibinong, Bogor","Taman, Keamanan",3,1,98 m²,68 m²,rumah,hgb - hak guna bangunan,1300 mah,1,bagus,,hos10702507,1,1,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10836788/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,800,Juta,Rumah Siap Kpr Dekat Cibinong di Griya Melati Mas Harga All In Nego,"Cibinong, Bogor","Taman, Keamanan",2,1,96 m²,71 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos10836788,1,,,,,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10844848/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,"2,04",Miliar,Rumah Siap Kpr Strategis Dekat Gerbang Tol Ciawi Harga All In,"Tegallega, Bogor","Taman, Keamanan",3,3,128 m²,200 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos10844848,1,1,,,,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos8993252/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,"1,7",Miliar,"rumah di Bogor, Perumahan Elite dengan lokasi strategis - Nego sampai DEAL","Kedung Halang, Bogor"," Taman, Kolam Renang,  Ac,  Jogging Track, Keamanan",2,2,84 m²,96 m²,rumah,shm - sertifikat hak milik,2200 mah,2,baru,semi furnished,hos8993252,1,,,,2020,barat daya,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10839013/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,840,Juta,Rumah Siap Kpr di Perum Hankam Dekat Stasiun Ka Cibinong Harga All In Nego,"Cibinong, Bogor","Taman, Keamanan",3,4,90 m²,180 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos10839013,1,,,,,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10996556/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,699,Juta,Rumah Minimalis Harga All In Kpr di Cibinong Green Park Dekat Cilodong,"Cibinong, Bogor","Taman, Keamanan",2,1,88 m²,40 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos10996556,1,,,,,barat daya,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10888734/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,"1,4",Miliar,Rumah Strategis Siap Kpr Dekat Mall Paradise Walk di Serpong Natura Harga All In,"Gunung Sindur, Bogor","Taman, Keamanan",4,4,120 m²,98 m²,rumah,,2200 mah,2,bagus,unfurnished,hos10888734,1,1,,,,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10868155/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,650,Juta,Rumah Minimalis di Puri Kencana Strategis Bebas Banjir Harga All In Siap Kpr,"Cibinong, Bogor","Taman, Keamanan",2,1,88 m²,53 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos10868155,1,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10711970/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,650,Juta,Rumah Minimalis di Sukaraja Villa Bogor Indah Harga All In Kpr,"Sukaraja, Bogor","Taman, Keamanan",2,1,66 m²,33 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos10711970,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10612776/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,"1,14",Miliar,Rumah Dekat Sentul City di Wartawangsa Residence Harga All In Siap Kpr,"Cibinong, Bogor","Taman, Keamanan",3,2,84 m²,76 m²,rumah,,1300 mah,2,bagus,unfurnished,hos10612776,,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11115181/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,"1,68",Miliar,Rumah Bebas Banjir Harga All In di Legenda Wisata Siap Kpr,"Gunung Putri, Bogor","Taman, Tempat Jemuran, Keamanan 24 jam",3,2,186 m²,110 m²,rumah,shm - sertifikat hak milik,1300 mah,2,bagus,unfurnished,hos11115181,2,,,,,barat daya,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10836233/#qid~4c2dc1ad-4bf3-4105-8a24-81d73add513b,Rp,780,Juta,Rumah Strategis Bebas Banjir Dekat Sentul City di Cimahpar Residence Harga All In Kpr,"Cimahpar, Bogor","Taman, Keamanan",2,1,105 m²,55 m²,rumah,shm - sertifikat hak milik,2200 mah,1,bagus,unfurnished,hos10836233,1,,,,,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10866822/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,530,Juta,Rumah Minimalis Bebas Banjir di Cendana Green Village Siap Kpr Harga All In,"Gunung Sindur, Bogor","Taman, Keamanan",2,1,70 m²,36 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos10866822,1,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10703546/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,44",Miliar,Rumah 2 Lantai Bebas Banjir di Bogor Raya Permai Harga All In Siap Kpr,"Bogor Barat, Bogor","Taman, Keamanan",4,3,126 m²,180 m²,rumah,shm - sertifikat hak milik,1300 mah,2,bagus,unfurnished,hos10703546,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11115182/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,68",Miliar,Rumah Strategis Harga All In Kpr di Legenda Wisata Zona Vivaldi,"Gunung Putri, Bogor","Taman, Tempat Jemuran, Keamanan 24 jam",3,2,186 m²,110 m²,rumah,shm - sertifikat hak milik,1300 mah,2,bagus,unfurnished,hos11115182,2,,,,,barat daya,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10711944/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,650,Juta,Rumah Strategis Di Villa Bogor Indah Dekat Cibinong Harga All In Kpr,"Kedung Halang, Bogor","Taman, Keamanan",2,1,66 m²,33 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos10711944,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10612535/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,14",Miliar,Rumah 2 Lantai Wartawangsa Residence Di Pusat Cibinong Harga All In Kpr,"Cibinong, Bogor","Taman, Keamanan",3,2,84 m²,76 m²,rumah,,1300 mah,2,,unfurnished,hos10612535,,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10977743/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,44",Miliar,Rumah Strategis Dekat Sukaraja di Bogor Raya Permai Siap Kpr Harga All In,"Curug, Bogor","Taman, Keamanan",4,3,126 m²,180 m²,rumah,shm - sertifikat hak milik,1300 mah,2,bagus,unfurnished,hos10977743,1,,,,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10612580/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,38",Miliar,Rumah Luas 2 Lantai di Erfina Kencana Regency Cibinong Harga All In Kpr,"Cibinong, Bogor","Taman, Keamanan",3,2,105 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos10612580,,1,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11045445/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,810,Juta,Rumah Strategis Minimalis di Metland Cileungsi Harga All In Siap Kpr,"Cileungsi, Bogor","Keamanan 24 jam, Tempat Jemuran, Taman",2,1,90 m²,45 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos11045445,1,,,,,selatan,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11045134/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,44",Miliar,Rumah Bebas Banjir Siap Kpr di Cimanggu Permai Harga All In,"Tanah Sareal, Bogor","Taman, Keamanan",4,2,198 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos11045134,1,1,,1,,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11045129/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,44",Miliar,Rumah Luas 2 Lantai Siap Kpr di Cimanggu Permai Bebas Banjir Harga All In,"Tanah Sareal, Bogor","Taman, Keamanan",4,2,198 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos11045129,1,1,,1,,timur,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10184494/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"2,4",Miliar,Rumah Seken Bebas Banjir Di Villa Bogor Indah Harga All In Siap Kpr,"Ciparigi, Bogor","Taman, Keamanan",4,3,153 m²,200 m²,rumah,shm - sertifikat hak milik,3500 mah,2,bagus,semi furnished,hos10184494,1,1,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10575663/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,08",Miliar,Rumah Strategis The Green Hill Cluster Bay Hill Harga All In Siap Kpr,"Cibinong, Bogor","Taman, Keamanan",3,2,84 m²,84 m²,rumah,shm - sertifikat hak milik,2200 mah,2,,unfurnished,hos10575663,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10711716/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,650,Juta,Rumah Minimalis di Villa Bogor Indah Dekat Sentul Harga All In Kpr,"Sentul, Bogor","Taman, Keamanan",2,1,66 m²,33 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos10711716,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10574856/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,14",Miliar,Rumah Seken Siap Kpr Area Bojonggede Bogor di Wartawangsa Residence Harga All In,"Bojong Gede, Bogor","Taman, Keamanan",3,2,84 m²,76 m²,rumah,,1300 mah,2,,unfurnished,hos10574856,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10515932/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,38",Miliar,Rumah Strategis 2 Lantai Siap Kpr Dekat Sentul City Harga All In,"Sentul City, Bogor","Taman, Keamanan",3,2,105 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos10515932,1,1,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos11154513/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,798,Juta,Rumah Ready Stok  Free DP 10 % Di Milennium City,"Parung Panjang, Bogor","Keamanan 24 jam, Taman,  Taman, Jogging Track, Track Lari, Keamanan",2,2,60 m²,61 m²,rumah,hgb - hak guna bangunan,2200 mah,2,baru,unfurnished,hos11154513,2,,,,2020,utara,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10711664/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,650,Juta,Rumah Bebas Banjir Di Villa Bogor Indah Harga All In Siap Kpr,"Sukaraja, Bogor","Taman, Keamanan",2,1,66 m²,33 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos10711664,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10574821/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,14",Miliar,Rumah Siap Kpr di Wartawangsa Residence Bebas Banjir Harga All In Nego,"Cibinong, Bogor","Taman, Keamanan",3,2,84 m²,76 m²,rumah,,1300 mah,2,,unfurnished,hos10574821,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10712010/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,650,Juta,Rumah Strategis di Villa Bogor Indah Sukaraja Harga All In Siap Kpr,"Sukaraja, Bogor","Taman, Keamanan",2,1,66 m²,33 m²,rumah,shm - sertifikat hak milik,1300 mah,1,bagus,unfurnished,hos10712010,1,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10613249/#qid~cb1a80d7-d8ba-4990-ba99-7e27c1372a36,Rp,"1,14",Miliar,Rumah 2 Lantai Wartawangsa Residence Di Pusat Cibinong Harga All In Kpr,"Cibinong, Bogor","Taman, Keamanan",3,2,84 m²,76 m²,rumah,,1300 mah,2,,unfurnished,hos10613249,,,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10613205/#qid~cf8ff284-0056-4a74-ac46-3cccd475244e,Rp,"1,38",Miliar,Rumah Luas 2 Lantai di Erfina Kencana Regency Cibinong Harga All In Kpr,"Cibinong, Bogor","Taman, Keamanan",3,2,105 m²,150 m²,rumah,shm - sertifikat hak milik,2200 mah,2,bagus,unfurnished,hos10613205,,1,,1,,,,,,,,,,,,,,,,,
https://www.rumah123.com/properti/bogor/hos10562133/#qid~cf8ff284-0056-4a74-ac46-3cccd475244e,Rp,780,Juta,Rumah Bebas Banjir Siap Huni Di Bogor Harga All In Bisa Kpr,"Ciomas, Bogor","Taman, Keamanan",3,2,116 m²,85 m²,rumah,shm - sertifikat hak milik,1300 mah,1,,unfurnished,hos10562133,1,1,,1,,,,,,,,,,,,,,,,,
