url,price_in_rp,title,address,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,building_age,year_built,property_condition,building_orientation,garages,furnishing,electricity_num,fac_tempat_jemuran,fac_jalur_telepon,fac_jogging_track,fac_kolam_renang,fac_masjid,fac_keamanan,fac_cctv,fac_kitchen_set,fac_one_gate_system,fac_akses_parkir,fac_playground,fac_wastafel,fac_ac,fac_lapangan_basket,fac_tempat_gym,fac_kolam_ikan,fac_lapangan_voli,fac_lapangan_tenis,fac_lapangan_bola,fac_mesin_cuci,fac_lapangan_bulu_tangkis,fac_kulkas,fac_garden,fac_water_heater,fac_canopy,fac_smart_home,fac_backyard_luas,fac_garasi,fac_balkon,fac_pompa_air_wasser_dan_booster,fac_kompor_exhaust,fac_basement,fac_gudang,fac_clubhouse,fac_service_area,fac_plumbing_system
https://www.rumah123.com/properti/depok/hos11018402/#qid~b0d4bc41-db17-4512-9701-3f9f734f5040,465000000.0,rumah eksklusif kalimulya dekat ke gdc dan stasiun depok,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,['Keamanan'],rumah,hos11018402,2,1,60.0,38.0,0,shm - sertifikat hak milik,1300 mah,0,0,1,0,2022,baru,,0,unfurnished,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11036457/#qid~8fc659a1-208c-4c24-ab80-85036a5f2453,800000000.0,rumah siap huni di griya melati mas akses mudah siap kpr harga all in,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Keamanan', 'Taman']",rumah,hos11036457,2,1,96.0,71.0,1,shm - sertifikat hak milik,2200 mah,0,0,1,,,bagus,selatan,0,unfurnished,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos11036838/#qid~fe8134f8-55b0-4db9-805f-3718223b2994,660000000.0,rumah di griya melati mas cilodong bebas banjir bisa kpr harga all in,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Keamanan', 'Taman']",rumah,hos11036838,2,1,72.0,72.0,1,hgb - hak guna bangunan,1300 mah,0,0,1,,,bagus,selatan,0,unfurnished,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos10755462/#qid~d5cba54a-4165-493d-8434-9b982abad289,1560000000.0,rumah strategis di desari residence dekat stasiun depok harga all in bisa kpr,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Keamanan', 'Taman']",rumah,hos10755462,3,2,72.0,90.0,1,shm - sertifikat hak milik,2200 mah,0,0,2,,,bagus,timur,0,unfurnished,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos10702249/#qid~d5cba54a-4165-493d-8434-9b982abad289,780000000.0,rumah bebas banjir di griya melati mas harga all in nego bisa kpr,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Keamanan', 'Taman']",rumah,hos10702249,3,1,98.0,68.0,1,hgb - hak guna bangunan,1300 mah,1,0,1,,,bagus,,1,unfurnished,1300.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos10836748/#qid~d5cba54a-4165-493d-8434-9b982abad289,800000000.0,rumah bebas banjir di griya melati mas akses mudah harga all in siap kpr,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Keamanan', 'Taman']",rumah,hos10836748,2,1,96.0,71.0,1,shm - sertifikat hak milik,2200 mah,0,0,1,,,,selatan,0,unfurnished,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos10902063/#qid~3ee384ff-2b18-4d23-800e-03fd2c9e2dad,464000000.0,rumah di jatimulya depok gaya bali dekat tol margonda 5 menit ke gdc,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Tempat Jemuran', ' One Gate System', 'Masjid', 'Keamanan 24 jam', ' Taman', 'Taman', 'Wastafel', 'AC', ' Keamanan']",rumah,hos10902063,2,1,60.0,38.0,1,shm - sertifikat hak milik,1300 mah,0,0,1,0,2022,bagus,,1,unfurnished,1300.0,1,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos10794588/#qid~c474674f-53f6-4bce-8544-dc04231a551b,800000000.0,rumah 2 lantai siap huni shm di jatimulya depok dekat gdc akses tol margonda dan stasiun krl depok,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"[' Masjid', 'Ac', ' Keamanan', 'Taman']",rumah,hos10794588,3,2,84.0,71.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,bagus,,2,unfurnished,2200.0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos9830248/#qid~c474674f-53f6-4bce-8544-dc04231a551b,999000000.0,rumah 2 lamtai depok gdc tanah luas lokasi pinggir jalan raya siap huni raya,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Ac', ' Keamanan', 'Taman']",rumah,hos9830248,3,2,89.0,80.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,baru,timur,2,unfurnished,2200.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
https://www.rumah123.com/properti/depok/hos10293345/#qid~c474674f-53f6-4bce-8544-dc04231a551b,970000000.0,rumah 2 lantai tanah luas dekat grand depok city akses jalan besar dekat stasiun dan tol cijago,"Cilodong, Depok",Cilodong, Depok,-6.4281714,106.8368844,"['Tempat Jemuran', 'Wastafel', 'Taman', 'AC', 'Keamanan']",rumah,hos10293345,3,2,81.0,70.0,2,shm - sertifikat hak milik,2200 mah,0,0,2,0,2022,bagus,,2,unfurnished,2200.0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
