,price_in_rp
122,945000000.0
123,4270000000.0
124,3000000000.0
125,2000000000.0
126,650000000.0
127,592000000.0
128,2900000000.0
129,4100000000.0
130,1880000000.0
131,3000000000.0
132,2340000000.0
133,1100000000.0
134,650000000.0
135,3000000000.0
136,1940000000.0
137,3100000000.0
138,1200000000.0
139,599000000.0
140,782000000.0
141,5750000000.0
142,2150000000.0
143,785000000.0
144,388000000.0
145,7000000000.0
146,790000000.0
147,600000000.0
148,660000000.0
149,3500000000.0
150,594000000.0
151,960000000.0
152,1700000000.0
153,587000000.0
154,1300000000.0
155,908000000.0
156,1950000000.0
157,800000000.0
158,320000000.0
159,26000000000.0
160,1100000000.0
161,1250000000.0
162,4700000000.0
163,1500000000.0
164,599000000.0
165,5000000000.0
166,21900000000.0
167,1560000000.0
168,4320000000.0
169,2750000000.0
170,1350000000.0
171,195000000.0
172,389000000.0
173,506000000.0
174,640000000.0
175,1150000000.0
176,1250000000.0
177,900000000.0
178,4500000000.0
179,235000000.0
180,2250000000.0
181,4100000000.0
182,590000000.0
183,675000000.0
184,1280000000.0
185,325000000.0
186,9500000000.0
187,1200000000.0
188,455000000.0
189,260000000.0
190,1000000000.0
191,1600000000.0
192,2400000000.0
193,1750000000.0
194,1900000000.0
195,470000000.0
196,8300000000.000001
197,1270000000.0
198,1080000000.0
199,2600000000.0
200,4990000000.0
201,10000000000.0
202,810000000.0
203,1350000000.0
204,600000000.0
205,1440000000.0
206,1900000000.0
207,2500000000.0
208,3760000000.0
209,695000000.0
210,2850000000.0
211,535000000.0
212,4500000000.0
213,960000000.0
214,4190000000.000001
215,15000000000.0
216,1600000000.0
217,1050000000.0
218,5050000000.0
219,1300000000.0
220,3190000000.0
221,968000000.0
222,7390000000.0
223,6660000000.0
224,8500000000.0
225,690000000.0
226,650000000.0
227,900000000.0
228,599000000.0
229,3900000000.0
230,1450000000.0
231,25000000000.0
232,1850000000.0
233,1250000000.0
234,655000000.0
235,17500000000.0
236,500000000.0
237,4500000000.0
238,40000000000.0
239,15500000000.0
240,1900000000.0
241,1440000000.0
242,450000000.0
243,9960000000.0
244,15000000000.0
245,775000000.0
246,2050000000.0
247,782000000.0
248,755000000.0
249,1090000000.0
250,5860000000.0
251,563000000.0
252,6000000000.0
253,1550000000.0
254,351000000.0
255,660000000.0
256,1700000000.0
257,1480000000.0
258,525000000.0
259,750000000.0
260,650000000.0
261,1440000000.0
262,1200000000.0
263,438000000.0
264,5500000000.0
265,7000000000.0
266,650000000.0
267,550000000.0
268,1300000000.0
269,2800000000.0
270,2520000000.0
271,1700000000.0
272,13700000000.0
273,4850000000.0
274,25000000000.0
275,599000000.0
276,1510000000.0
277,5700000000.0
278,920000000.0
279,5950000000.0
280,1490000000.0
281,4900000000.0
282,5300000000.0
283,2800000000.0
284,11000000000.0
285,1440000000.0
286,590000000.0
287,1800000000.0
288,980000000.0
289,658000000.0
290,1380000000.0
291,660000000.0
292,650000000.0
293,3000000000.0
294,1020000000.0
295,3500000000.0
296,960000000.0
297,5400000000.0
298,1700000000.0
299,1150000000.0
300,450000000.0
301,4800000000.0
302,275000000.0
303,1300000000.0
304,975000000.0
305,2150000000.0
306,4300000000.0
307,764000000.0
308,10200000000.0
309,3500000000.0
310,1200000000.0
311,1350000000.0
312,13800000000.0
313,660000000.0
314,2280000000.0
315,4500000000.0
316,477000000.0
317,1800000000.0
318,2950000000.0
319,775000000.0
320,1600000000.0
321,1180000000.0
322,28000000000.0
323,1250000000.0
324,1050000000.0
325,2300000000.0
326,920000000.0
327,3830000000.0
328,500000000.0
329,17500000000.0
330,5100000000.0
331,2700000000.0
332,10000000000.0
333,800000000.0
334,970000000.0
335,870000000.0
336,20000000000.0
337,1980000000.0
338,800000000.0
339,3500000000.0
340,960000000.0
341,1080000000.0
342,11900000000.0
